"transaction_id","date","category","product_id","units_sold","unit_price","region"
"TX0116",2026-01-01,"Clothing","P020",4,40.83,"North"
"TX0172",2026-01-01,"Sports","P047",4,54.78,"South"
"TX0229",2026-01-01,"Clothing","P044",5,35.56,"East"
"TX0212",2026-01-02,"Clothing","P059",3,44.46,"East"
"TX0247",2026-01-02,"Clothing","P005",4,37.68,"West"
"TX0257",2026-01-02,"Books","P032",6,17.04,"South"
"TX0156",2026-01-04,"Electronics","P028",7,229.25,"South"
"TX0259",2026-01-04,"Electronics","P024",2,273.34,"West"
"TX0223",2026-01-05,"Electronics","P017",4,220.55,"North"
"TX0158",2026-01-07,"Clothing","P029",4,42.6,"South"
"TX0166",2026-01-08,"Books","P007",7,17.22,"East"
"TX0181",2026-01-08,"Clothing","P021",1,37.82,"West"
"TX0091",2026-01-09,"Electronics","P031",5,212.87,"South"
"TX0125",2026-01-09,"Home & Garden","P026",2,78.07,"West"
"TX0149",2026-01-09,"Electronics","P041",2,257.61,"East"
"TX0056",2026-01-11,"Electronics","P003",3,276.88,"East"
"TX0224",2026-01-11,"Clothing","P008",4,40.33,"South"
"TX0045",2026-01-12,"Electronics","P034",2,260.66,"North"
"TX0148",2026-01-12,"Sports","P055",2,54.38,"South"
"TX0207",2026-01-13,"Sports","P049",5,51.78,"North"
"TX0115",2026-01-14,"Clothing","P046",3,39.34,"North"
"TX0169",2026-01-14,"Clothing","P047",4,39.53,"North"
"TX0275",2026-01-14,"Books","P007",2,20.86,"South"
"TX0096",2026-01-16,"Electronics","P052",4,279.2,"West"
"TX0215",2026-01-16,"Books","P017",3,17.24,"West"
"TX0019",2026-01-17,"Clothing","P023",2,37.55,"West"
"TX0263",2026-01-17,"Books","P004",6,20.73,"South"
"TX0060",2026-01-18,"Electronics","P048",1,255.95,"East"
"TX0197",2026-01-18,"Home & Garden","P024",2,76.73,"North"
"TX0209",2026-01-19,"Books","P019",1,21.33,"North"
"TX0279",2026-01-19,"Sports","P032",3,55.93,"South"
"TX0210",2026-01-20,"Electronics","P058",6,252.06,"South"
"TX0289",2026-01-20,"Books","P029",7,16.97,"West"
"TX0050",2026-01-21,"Electronics","P049",1,236.84,"South"
"TX0188",2026-01-21,"Electronics","P059",3,280.89,"East"
"TX0109",2026-01-22,"Clothing","P043",5,40.95,"South"
"TX0121",2026-01-22,"Clothing","P040",4,34.05,"North"
"TX0193",2026-01-23,"Books","P026",2,16.93,"West"
"TX0076",2026-01-24,"Electronics","P028",1,224.03,"West"
"TX0092",2026-01-24,"Clothing","P028",6,44.45,"South"
"TX0006",2026-01-25,"Electronics","P045",4,266.13,"East"
"TX0070",2026-01-25,"Electronics","P030",1,218.22,"East"
"TX0087",2026-01-25,"Books","P007",3,18.65,"West"
"TX0031",2026-01-26,"Home & Garden","P028",1,71.64,"West"
"TX0271",2026-01-26,"Home & Garden","P041",2,65.79,"North"
"TX0026",2026-01-27,"Clothing","P047",4,42.03,"South"
"TX0217",2026-01-27,"Home & Garden","P028",3,67,"West"
"TX0218",2026-01-28,"Electronics","P027",6,279.72,"North"
"TX0141",2026-01-29,"Clothing","P051",5,42.06,"South"
"TX0230",2026-01-29,"Electronics","P039",3,266.38,"South"
"TX0280",2026-01-29,"Clothing","P026",5,42.53,"East"
"TX0044",2026-01-30,"Home & Garden","P056",2,84.66,"South"
"TX0046",2026-01-30,"Home & Garden","P046",3,85.07,"North"
"TX0015",2026-01-31,"Home & Garden","P037",6,65.24,"West"
"TX0183",2026-01-31,"Clothing","P042",1,36.71,"South"
"TX0201",2026-01-31,"Electronics","P025",2,269.2,"West"
"TX0055",2026-02-01,"Electronics","P038",1,266.35,"East"
"TX0072",2026-02-01,"Sports","P044",1,51.4,"North"
"TX0073",2026-02-01,"Clothing","P021",5,40.99,"East"
"TX0102",2026-02-01,"Clothing","P031",2,37.64,"North"
"TX0078",2026-02-02,"Sports","P034",1,54.49,"West"
"TX0147",2026-02-02,"Electronics","P057",1,233.34,"South"
"TX0237",2026-02-02,"Clothing","P025",6,44.86,"North"
"TX0039",2026-02-03,"Clothing","P031",3,44.83,"West"
"TX0064",2026-02-03,"Electronics","P043",2,271,"West"
"TX0041",2026-02-04,"Home & Garden","P021",4,67.09,"West"
"TX0042",2026-02-05,"Sports","P050",5,58.61,"East"
"TX0043",2026-02-05,"Clothing","P045",2,36.35,"North"
"TX0117",2026-02-05,"Clothing","P017",2,44.11,"South"
"TX0168",2026-02-05,"Sports","P015",3,60.47,"West"
"TX0253",2026-02-05,"Home & Garden","P032",5,78.34,"South"
"TX0003",2026-02-09,"Home & Garden","P060",5,64.77,"East"
"TX0035",2026-02-09,"Electronics","P060",2,237.16,"South"
"TX0266",2026-02-10,"Clothing","P003",4,41.32,"North"
"TX0062",2026-02-11,"Electronics","P043",3,243.1,"South"
"TX0122",2026-02-11,"Sports","P041",1,53.06,"North"
"TX0126",2026-02-11,"Sports","P027",2,53.73,"South"
"TX0260",2026-02-11,"Electronics","P027",2,276.97,"North"
"TX0119",2026-02-12,"Sports","P031",1,61.95,"North"
"TX0225",2026-02-12,"Home & Garden","P054",7,79.9,"East"
"TX0251",2026-02-12,"Sports","P040",2,61.34,"West"
"TX0153",2026-02-13,"Home & Garden","P024",3,73.67,"East"
"TX0184",2026-02-13,"Electronics","P031",3,279.17,"North"
"TX0038",2026-02-14,"Home & Garden","P058",5,71.44,"South"
"TX0132",2026-02-14,"Electronics","P005",1,231.17,"South"
"TX0206",2026-02-14,"Books","P008",3,17.74,"North"
"TX0018",2026-02-15,"Books","P005",1,16.5,"South"
"TX0285",2026-02-15,"Clothing","P056",6,38.55,"West"
"TX0054",2026-02-17,"Home & Garden","P022",1,66.69,"West"
"TX0219",2026-02-17,"Electronics","P023",4,246.81,"East"
"TX0029",2026-02-18,"Clothing","P054",4,43.67,"East"
"TX0246",2026-02-18,"Books","P024",4,19.62,"South"
"TX0061",2026-02-19,"Electronics","P015",7,227.47,"West"
"TX0191",2026-02-19,"Sports","P046",2,51.55,"West"
"TX0083",2026-02-22,"Electronics","P042",4,265.11,"East"
"TX0273",2026-02-22,"Clothing","P006",1,39.32,"East"
"TX0284",2026-02-22,"Books","P034",1,16.13,"West"
"TX0067",2026-02-23,"Sports","P053",2,68.03,"South"
"TX0162",2026-02-23,"Books","P057",4,21.17,"West"
"TX0286",2026-02-23,"Books","P030",2,20.38,"North"
"TX0099",2026-02-24,"Books","P027",8,18.64,"West"
"TX0135",2026-02-24,"Electronics","P018",6,274.36,"East"
"TX0173",2026-02-24,"Sports","P002",2,54.84,"East"
"TX0294",2026-02-24,"Sports","P042",3,60.05,"North"
"TX0155",2026-02-25,"Books","P014",4,20.57,"North"
"TX0270",2026-02-25,"Clothing","P026",3,42.83,"West"
"TX0282",2026-02-25,"Sports","P029",2,62.55,"West"
"TX0004",2026-02-27,"Electronics","P030",7,233.11,"West"
"TX0204",2026-02-27,"Clothing","P045",5,36.94,"North"
"TX0189",2026-02-28,"Clothing","P025",1,34.55,"West"
"TX0049",2026-03-02,"Books","P021",5,18.36,"South"
"TX0016",2026-03-03,"Electronics","P060",5,268.14,"East"
"TX0066",2026-03-03,"Electronics","P015",5,217.35,"South"
"TX0175",2026-03-03,"Books","P032",1,19.2,"North"
"TX0106",2026-03-04,"Home & Garden","P029",2,83.72,"West"
"TX0290",2026-03-04,"Clothing","P002",3,44.68,"East"
"TX0023",2026-03-07,"Sports","P009",2,52.4,"East"
"TX0297",2026-03-09,"Books","P013",7,18.91,"East"
"TX0037",2026-03-10,"Home & Garden","P007",5,77.73,"South"
"TX0108",2026-03-10,"Sports","P035",5,60.24,"South"
"TX0233",2026-03-11,"Clothing","P046",3,42.05,"South"
"TX0077",2026-03-13,"Sports","P046",3,51.27,"West"
"TX0238",2026-03-13,"Clothing","P009",2,42.61,"North"
"TX0244",2026-03-13,"Books","P017",1,16.66,"West"
"TX0002",2026-03-14,"Clothing","P015",7,42.97,"West"
"TX0113",2026-03-14,"Electronics","P029",2,279.51,"East"
"TX0171",2026-03-14,"Clothing","P044",3,41.92,"North"
"TX0234",2026-03-14,"Books","P055",1,19.23,"South"
"TX0033",2026-03-16,"Clothing","P009",2,40.36,"West"
"TX0226",2026-03-16,"Electronics","P052",3,279.07,"North"
"TX0254",2026-03-16,"Books","P041",3,18.63,"North"
"TX0063",2026-03-17,"Electronics","P004",3,248.8,"South"
"TX0085",2026-03-17,"Home & Garden","P010",2,78.6,"West"
"TX0236",2026-03-17,"Books","P030",5,18.51,"South"
"TX0296",2026-03-18,"Sports","P027",7,67.52,"North"
"TX0021",2026-03-19,"Clothing","P046",1,38.91,"West"
"TX0120",2026-03-19,"Clothing","P025",6,40.69,"West"
"TX0232",2026-03-19,"Electronics","P051",6,273.57,"North"
"TX0128",2026-03-20,"Electronics","P038",4,257.81,"West"
"TX0127",2026-03-21,"Sports","P045",1,64.83,"North"
"TX0136",2026-03-21,"Sports","P004",2,53.99,"West"
"TX0163",2026-03-21,"Sports","P003",1,64.53,"East"
"TX0028",2026-03-22,"Books","P017",2,19.59,"East"
"TX0154",2026-03-22,"Sports","P019",2,65.76,"West"
"TX0211",2026-03-22,"Books","P036",2,18.79,"East"
"TX0293",2026-03-24,"Home & Garden","P023",7,80.54,"North"
